experiment,checkpoint,kth_intermediate_answer,proportion_found,found_count,total_questions,complexity
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,500,1,0.9285714285714286,130,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,500,2,0.9285714285714286,130,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,500,3,0.7,98,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,500,1,0.9487179487179487,74,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,500,2,0.8076923076923077,63,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,500,3,0.8589743589743589,67,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,500,4,0.6153846153846154,48,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1000,1,0.9680851063829787,273,282,2
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1000,2,0.7198581560283688,203,282,2
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1000,1,0.9285714285714286,130,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1000,2,0.9357142857142857,131,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1000,3,0.7357142857142858,103,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1000,1,0.9102564102564102,71,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1000,2,0.8589743589743589,67,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1000,3,0.8461538461538461,66,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1000,4,0.6538461538461539,51,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1500,1,0.9645390070921985,272,282,2
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1500,2,0.7943262411347518,224,282,2
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1500,1,0.95,133,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1500,2,0.9642857142857143,135,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1500,3,0.8,112,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1500,1,0.9102564102564102,71,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1500,2,0.8461538461538461,66,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1500,3,0.9358974358974359,73,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,1500,4,0.8076923076923077,63,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2000,1,0.9645390070921985,272,282,2
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2000,2,0.7659574468085106,216,282,2
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2000,1,0.9357142857142857,131,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2000,2,0.9285714285714286,130,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2000,3,0.7142857142857143,100,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2000,1,0.8974358974358975,70,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2000,2,0.8461538461538461,66,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2000,3,0.9102564102564102,71,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2000,4,0.7564102564102564,59,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2500,1,0.9645390070921985,272,282,2
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2500,2,0.8120567375886525,229,282,2
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2500,1,0.9571428571428572,134,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2500,2,0.9714285714285714,136,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2500,3,0.7714285714285715,108,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2500,1,0.9487179487179487,74,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2500,2,0.8717948717948718,68,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2500,3,0.9358974358974359,73,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,2500,4,0.7692307692307693,60,78,4
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,3000,1,0.9680851063829787,273,282,2
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,3000,2,0.8191489361702128,231,282,2
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,3000,1,0.9714285714285714,136,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,3000,2,0.9642857142857143,135,140,3
Qwen/Qwen3-4B/1115__curr=random__training_seed=1,3000,3,0.8857142857142857,124,140,3
